scenario,maximum_group,n,percent
All years,0,1647,1.6469999999999998
All years,1,14208,14.208000000000002
All years,2,24167,24.166999999999998
All years,3,22245,22.245
All years,4,15575,15.575
All years,5,9632,9.632
All years,6,5625,5.625
All years,7,3142,3.1419999999999995
All years,8,1773,1.773
All years,9,908,0.9079999999999999
All years,10+,1078,1.078
Excluding 2014,0,1251,1.2510000000000001
Excluding 2014,1,24277,24.277
Excluding 2014,2,41680,41.68
Excluding 2014,3,22784,22.784
Excluding 2014,4,7598,7.598000000000001
Excluding 2014,5,1906,1.9060000000000001
Excluding 2014,6,415,0.415
Excluding 2014,7,72,0.07200000000000001
Excluding 2014,8,15,0.015
Excluding 2014,9,2,0.002
